round,team_id,home_rk,home_gp,home_w,home_d,home_l,home_gf,home_ga,home_p
15,14,12,7,4,1,2,11,9,13
15,6,16,8,2,2,4,10,9,8
15,4,5,8,5,1,2,14,10,16
15,91,8,8,4,3,1,10,5,15
15,94,4,7,5,1,1,15,8,16
15,54,10,8,4,1,3,14,10,13
15,2,13,8,3,3,2,13,11,12
15,17,18,7,2,1,4,8,13,7
15,21,19,7,2,0,5,8,17,6
15,90,17,7,2,1,4,5,7,7
15,39,20,8,0,1,7,7,21,1
16,3,1,8,7,1,0,20,3,22
16,43,2,8,7,0,1,22,6,21
16,7,3,8,6,1,1,13,6,19
16,8,10,8,4,2,2,12,7,14
16,31,15,8,2,4,2,9,10,10
16,1,11,8,4,2,2,16,12,14
16,14,7,8,5,1,2,13,9,16
16,56,4,8,5,3,0,15,7,18
16,11,12,8,4,2,2,11,9,14
16,36,8,8,4,3,1,16,11,15
16,6,17,8,2,2,4,10,9,8
16,4,6,8,5,1,2,14,10,16
16,91,9,8,4,3,1,10,5,15
16,54,13,8,4,1,3,14,10,13
16,94,5,8,5,2,1,16,9,17
16,17,16,8,3,1,4,11,13,10
16,2,14,8,3,3,2,13,11,12
16,21,19,8,2,0,6,10,20,6
16,90,18,8,2,1,5,7,10,7
16,39,20,8,0,1,7,7,21,1
17,3,2,8,7,1,0,20,3,22
17,43,1,9,8,0,1,25,6,24
17,7,3,9,7,1,1,15,7,22
17,8,12,8,4,2,2,12,7,14
17,14,10,8,5,1,2,13,9,16
17,56,4,8,5,3,0,15,7,18
17,1,13,8,4,2,2,16,12,14
17,31,15,8,2,4,2,9,10,10
17,36,7,9,4,4,1,16,11,16
17,11,14,9,4,2,3,11,10,14
17,4,6,9,5,2,2,16,12,17
17,94,5,8,5,2,1,16,9,17
17,54,8,9,5,1,3,15,10,16
17,6,17,9,2,2,5,11,11,8
17,91,9,9,4,4,1,11,6,16
17,2,11,9,4,3,2,17,12,15
17,17,16,8,3,1,4,11,13,10
17,21,19,8,2,0,6,10,20,6
17,90,18,8,2,1,5,7,10,7
17,39,20,9,0,1,8,7,23,1
18,3,1,9,8,1,0,22,4,25
18,43,2,9,8,0,1,25,6,24
18,7,3,9,7,1,1,15,7,22
18,14,6,9,6,1,2,15,10,19
18,8,13,9,4,2,3,13,9,14
18,1,7,9,5,2,2,17,12,17
18,56,5,9,5,4,0,16,8,19
